User ID,User Public Address,Number Auctions,Total Spent,Total Cashback (95%),Total Gas
056092a9-3065-4536-a0b3-eb64aa81286f,0x5e1dd494c8c709fbb2a0212825f242e44370f152,26,2571.84,2443.248,625.842414363
06761025-7275-499c-a82e-5ffed3fee703,0xb2e5ee820c1854a0604a5b8f886a3aac10f48a9d,52,4869.0,4625.55,2308.16
07184a41-767f-46d4-85b8-287d364adf92,0xa24a6f1c15e7ef49f92bdd479f6fcf607a7e31ae,6,879.57,835.5915,183.56
0b0fb7cd-30dc-4270-88b5-c31f7279407d,0x86944a54db88ebf12d789097efaefe0a45c4a8eb,2,170.0,161.5,68.38
0c3fc3d0-b944-4864-96c0-466f121b9829,0xeec29644e1bd16822f1d813b955967ea41d07778,25,2500.0,2375.0,2575.13
0d3b8cf0-e621-11ea-bf5e-685b35a4c6c8,0x30793a4f2d9467fb74eeee34502da59d4e11f099,11,1400.0,1330.0,436.71334648
12df22bd-08c9-4f42-82b5-56d72c694001,0x307814d99156d0216e0066cda3132b6f17adf0f7,6,582.25,553.1374999999999,321.9
14d6742e-f07a-4b43-8e40-19d4c47d5828,0x09ac81ae7f787d0a16cb59bb9ad2dbcbefcadfe6,29,2351.03,2233.4785,485.04
15718c7e-44a9-4dd4-86dc-45947211095c,0xa9f153d96fd06fac8b76759f42ea2f6174ce4e0c,50,4986.68,4737.3460000000005,2360.952208264
16ba8350-8617-4eae-962b-022b796140e3,0xc70075690ec3e0a5f626ef9778593fc910ea5a8b,1,99.36,94.39200000000001,34.34
16f0dad6-ee45-42a3-981a-85c4d104e8bc,0xe564c51d5872a0a4b689fc4ec941ff9b905893ae,1,101.0,95.95,40.53
19da881a-bc2a-478b-b985-34bcf0689139,0x085faab3af36b4978e2bac2a0f5008b98802348a,64,6069.34,5765.8730000000005,3310.67
1c4dc071-016d-4498-ac74-783cefdf6b77,0x0ae3171c9e33b64a35caed0ceb02b577e5afe2a7,21,1836.4,1744.5800000000002,1366.77
1f5868c5-75f5-46fa-b173-b0fd459c7e18,0xc5744bc87b78aead2c5e5eeedd9104a8b2cd8b10,17,1718.46,1632.537,863.807838744
219a1f82-e168-42c9-9087-6a04364ff59c,0x4815235e4afd0f015e82f37e6ffee417d64433e0,5,500.0,475.0,281.66
23f19a70-ae52-4f2d-ade5-660c4477df9d,0x6d5528dcf8629ba071ed8ec85ba81a01aaf2638f,403,42368.8700000001,40250.42650000009,17912.5565901848
24d8c03d-b940-45ab-91aa-365d03eb29bb,0xc5f8534ee1aaacd2f4f1bb7631e38160120b1401,15,1458.23,1385.3185,908.44
290e45e1-e285-45f6-8375-f204217fee77,0x912515ac82297c85f7c4d4a08a18f9f3fd767425,2,189.52,180.044,77.98
2c8ca872-154d-4f0d-a631-12f76f964e65,0xc9f817ea7aabe604f5677bf9c1339e32ef1b90f0,2,200.0,190.0,129.17
321b109f-0d44-45fb-951d-8ec34291897e,0xcfcf281a727315066bde477df086d0021a1c9d72,4,421.5,400.425,301.48
32402680-0e9a-4d05-8b41-12b3a11af973,0xdb888e9d6a7525a042aae98f08dc9a9f2b43ada5,1,100.0,95.0,45.38
3793db91-c492-4639-93e1-dfef204742fd,0x2369b4221b99845b0e6fc3b4c7bac794d9a609e9,4,471.0,447.45,153.47
37de1854-1e60-48a7-b78e-267c3438cb47,0x920ae04c58aac191a772fb321c0f5dc382fba6e8,8,800.0,760.0,566.47
3ad1df1c-fc20-410d-89ca-d26e945dcf98,0xb7aed5fdf65d2a076688931e86547a941a269d86,4,399.58,379.601,132.24
3ef80e83-057a-41b4-9b3e-658ce9492226,0x732260317f4d555b3d67084429b73b8b20cc7b50,25,2391.5,2271.9249999999997,1109.7
419541b0-8366-4992-929b-9c4f3d647e43,0x53395e9e56f1b7fb3cd1fbd4c1195ef2dee71736,3,300.0,285.0,169.5
42fad29e-e10e-4878-a623-dde6b7bcc25e,0x8276d9d2a8bb7a524c06a5375e531557ba1191c3,26,3494.2,3319.4900000000002,1050.25322192
4d831426-4249-4f83-9acf-4c96f47e2055,0xbfa6c4d32e44517415245f61a5ee3527820823d4,12,1022.93,971.7835,603.86
4dc65b94-5274-4145-8e6e-513f0eabb876,0x968af8c01d117ac36abcd1374eee7799bf53cf42,39,4357.32,4139.454,1990.2
4f0461c3-f58d-4469-8e6d-ab9a96e128e1,0xb43359eb22ae059de51680ab9e935ce91f2d8dcc,64,6400.0,6080.0,6812.05
4f4fdba6-48b5-4ba3-8591-2b81715caac0,0xffb6d3c42b07c17ed0b6be1136d2ebc599b2562e,83,7232.6,6870.970000000001,2790.07
566a69db-bd86-4098-b23b-7af230c16eb5,0x83ac0e38c52231bf081196502e385f66eff49338,38,4100.0,3895.0,1931.2
56800fe3-7e69-4440-808a-cd8dfb92bf70,0xbc744c4ea799ebbce97231948e516f83131fb1d1,51,5810.0,5519.5,2857.95
578eb8e1-3d7d-4e2d-9229-95e24723b7cd,0x0cba16a85a424f49c82f9c687e8d99efdd087004,1,100.0,95.0,30.35
59db6bab-f911-4a09-8ff6-027a3c20c72f,0x2350e77d6df540e81d4966935c5dde5a27bfbc9f,15,4495.5,4270.724999999999,283.51
5a029c13-4eaf-42b0-907f-844f03a6d2d9,0x0dc1a82b4708c4133483f1ac6bd5e5ffa9b74272,1,120.0,114.0,19.91
5bbfc982-8385-43a0-8400-8fc1aee122ee,0xfc9facf0277756a76eb55f5c462031251a7d60ee,4,2482.0,2357.9,346.66
5d85ac29-25fb-4869-89ea-cc6538ea3803,0x6f4019f6684fd65d57f1b70e02e14228f28f40f2,6,600.0,570.0,247.77
615fb852-5e90-49bf-a04f-e23042755357,0x7a41416876e2a079aae51dbe84301e7fc9566879,45,4590.0,4360.5,3024.33
